type,form,norm,lexeme,eBL,I_IV,A_D,Female(f),Alt_lex
word,a-bi₄-ik,abik,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áb-kam,abkam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áb-kà-am,abkam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áb-kà-ma,abkamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áb-kam-ma,abkamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áb-kà-am-ma,abkamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ab-kà-nim,abkānim,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áb-kà-nim,abkānim,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áb-kà-ni-šu-nu,abkāniššunu,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-ta-ba-ak,atabbak,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-bu-uk,ābuk,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-bu-uk-ma,ābukma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-bu-kà-ma,ābukamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-bu-kam-ma,ābukamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-ta-áb-kam,ātabkam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,e-ta-ba-ak,ētābak,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,lá-bu-uk,lābuk,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,lá-bu-kà-ku-ma,lābukakkumma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,lá-bu-kam-ma,lābukamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,li-bu-uk,lēbuk,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ne-ba-kà-kum,nebbakakkum,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,né-ba-kà-kum,nebbakakkum,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ni-ba-kà-kum-ma,nebbakakkumma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ni-ba-kam,nibbakam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ta-ba-kà-nim,tabbakānim,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ta-bu-uk,tābuk,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ta-bu-kà-nim,tābukānim,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,e-bi-ik,abik,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áp-kà-nim,abkānim,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,e-pí-iq,abik,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ab-kà-am,abkam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ap-kà-am,abkam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áp-kà-am,abkam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ab-kà-ma,abkamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,ab-kam-ma,abkamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,áp-kam-ma,abkamma,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,e-bu-uk,ēbuk,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
PN,a-ba-lá-lá,Abalala,Abalala,https://www.ebl.lmu.de/dictionary?word=Abalala,,,,
PN,a-ba-lá-lá-a,Abalala,Abalala,https://www.ebl.lmu.de/dictionary?word=Abalala,,,,
PN,a-pá-lá-lá-a,Abalala,Abalala,https://www.ebl.lmu.de/dictionary?word=Abalala,,,,
PN,a-ba-mu-li,Abamuli,Abamuli,https://www.ebl.lmu.de/dictionary?word=Abamuli,,,,
PN,a-ba-ni-im,Abānem,Abānu,https://www.ebl.lmu.de/dictionary?word=Abānu,,,,
PN,a-ba-nim,Abānem,Abānu,https://www.ebl.lmu.de/dictionary?word=Abānu,,,,
PN,a-ba-ra-a,Abarā,Abarā,https://www.ebl.lmu.de/dictionary?word=Abarā,,,,
PN,a-ba-ra,Abarā,Abarā,https://www.ebl.lmu.de/dictionary?word=Abarā,,,,
PN,a-ba-ri,Abari,Abari,https://www.ebl.lmu.de/dictionary?word=Abari,,,,
word,a-bar-ni-ú,abarniū,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-ni-ú,abarniū,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-ú,abarniū,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-ba-ar-ni-ú,abarniū,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-um,abarnium,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-um,abarnium,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-ni-um,abarnium,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-e,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-e,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-ba-ar-ni-e,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-ni-e,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-a-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-ni-a-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-a-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-ba-ar-ni-a-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-ba-ar-ni-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-ni-am,abarniam,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-im,abarniem,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-im,abarniem,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-an,abarniān,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-an,abarniān,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-e-ú,abarniū,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-ni,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-né-e-a,abarniēā,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-né-e,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-ú-um,abarnium,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-bar-ni-e-im,abarniem,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni-e-kà,abarniēka,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-ba-ar-né-e-a,abarniēā,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-ba-ar-ni,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-bar-ni,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)(.)(ḪI)(.)(A)a-bar-ni-e,abarniē,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,(TÚG)a-ba-ar-ni-en,abarniēn,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,a-ba-ar-ni-a-im,abarniāem(?),abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
word,TÚG-a-ba-ar-ni-um,abarnium,abarniu,https://www.ebl.lmu.de/dictionary?word=abarniu,,,,
PN,a-bar-sí-sí-im,Abarsisim,Abarsisum,https://www.ebl.lmu.de/dictionary?word=Abarsisum,,,,Abarzizum
PN,a-bar-zi-zi-im,Abarsisim,Abarsisum,https://www.ebl.lmu.de/dictionary?word=Abarsisum,,,,Abarzizum
PN,a-bar-sí-sí,Abarsisim,Abarsisum,https://www.ebl.lmu.de/dictionary?word=Abarsisum,,,,Abarzizum
PN,a-bar-zi-im,Abarsim,Abarsu,https://www.ebl.lmu.de/dictionary?word=Abarsu,,,,
word,a-ba-ri-im,abārem,abāru,https://www.ebl.lmu.de/dictionary?word=abāru,,,,
word,a-ba-ri,abārē,abāru,https://www.ebl.lmu.de/dictionary?word=abāru,,,,
word,a-ba-ri,abārī,abāru,https://www.ebl.lmu.de/dictionary?word=abāru,,,,
word,a-ba-ru-um,abārum,abāru,https://www.ebl.lmu.de/dictionary?word=abāru,,,,
PN,a-ba-ta-na-nim,Abatanānim,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-ba-ta-na-nu-um,Abatanānum,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-ba-ta-na-num,Abatanānum,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-pá-ta-na-nim,Apatanānim,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-pá-ta-na-num,Apatanānum,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-pá-ta-na-nu-um,Apatanānum,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-pá-ta-na-nu-ma,Apatanānumma,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-pá-ta-na-ni-im,Abatanānim,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-pá-ta-na-ni-im,Apatanānim,Abatanānu,https://www.ebl.lmu.de/dictionary?word=Abatanānu,,,,
PN,a-pá-ta-num,Abatānum,Abatānu,https://www.ebl.lmu.de/dictionary?word=Abatānu,,,,
PN,a-ba-tár,Abatar,Abatar,https://www.ebl.lmu.de/dictionary?word=Abatar,,,,
PN,a-ba-tum,Abatum,Abattu,https://www.ebl.lmu.de/dictionary?word=Abattu,,,,
PN,a-ba-tim,Abatim,Abattu,https://www.ebl.lmu.de/dictionary?word=Abattu,,,,
PN,a-ba-du-um,Abatum,Abattu,https://www.ebl.lmu.de/dictionary?word=Abattu,,,,
word,e-bu-ut-ma,ebutma,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,e-ta-ba-at,etabat,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,e-ta-ba-at-ma,etabatma,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,e-ta-áb-ta-ni,etabtanni,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,e-ta-áb-tù-nim,etabtūnim,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,ta-ba-at,tabbat,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,ta-ba-ta-ni,tabbatanni??,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,ta-bu-tá-ni-ma,ta'butanima,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,i-ta-ba-at,ītabbat,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
word,ta-bu-ta-ni-ma,ta'butanima,abātu,https://www.ebl.lmu.de/dictionary?word=abātu,,,,
PN,a-ba-sí-a,Abazia,Abazia,https://www.ebl.lmu.de/dictionary?word=Abazia,,,,
PN,a-ba-zi-a-šu,Abaziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-bi-zi-a-šu,Abiziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-pè-zi-aḫ-šu,Abiziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-pè-zi-a-šu,Abiziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-pì-zi-a-šu,Apiziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-pá-zi-a-šu,Apiziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-pé-zi-a-šu,Abaziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-pé-zi-a-šu,Abiziašu,Abaziašu,https://www.ebl.lmu.de/dictionary?word=Abaziašu,,,,
PN,a-ba-zu,Abazu,Abazu,https://www.ebl.lmu.de/dictionary?word=Abazu,,,,
PN,a-ba-zi,Abazi,Abazu,https://www.ebl.lmu.de/dictionary?word=Abazu,,,,
PN,a-ba-zu-ma,Abazuma,Abazu,https://www.ebl.lmu.de/dictionary?word=Abazu,,,,
PN,(m)a-ba-zu-ḫa,Abazuḫa,Abazuḫa,https://www.ebl.lmu.de/dictionary?word=Abazuḫa,,,,
PN,a-ba-zu-ḫa,Abazuḫa,Abazuḫa,https://www.ebl.lmu.de/dictionary?word=Abazuḫa,,,,
PN,(m)a-pá-zu-ḫa,Abazuḫa,Abazuḫa,https://www.ebl.lmu.de/dictionary?word=Abazuḫa,,,,
PN,ab-ba-a-im,Abbāim,Abbāu,https://www.ebl.lmu.de/dictionary?word=Abbāu,,,,
word,a-bu-ta-šu-nu-ma,abbūtaššunuma,abbuttu,https://www.ebl.lmu.de/dictionary?word=abbuttu,,,,
PN,áb-du,Abdu,Abdu,https://www.ebl.lmu.de/dictionary?word=Abdu,,,,
PN,ab-du-ma,Abduma,Abdu,https://www.ebl.lmu.de/dictionary?word=Abdu,,,,
PN,ab-du-a-ta,Abduata,Abduata,https://www.ebl.lmu.de/dictionary?word=Abduata,,,,
PN,áp-du-a-ta,Abduata,Abduata,https://www.ebl.lmu.de/dictionary?word=Abduata,,,,
PN,áb-du-a-ta,Abduata,Abduata,https://www.ebl.lmu.de/dictionary?word=Abduata,,,,
PN,áb-du-a-ta-ma,Abduatama,Abduata,https://www.ebl.lmu.de/dictionary?word=Abduata,,,,
PN,a-áb-du-a-ta,Abduata,Abduata,https://www.ebl.lmu.de/dictionary?word=Abduata,,,,
PN,ab-di-IŠTAR,Abed-Ištar,Abed-Ištar,https://www.ebl.lmu.de/dictionary?word=Abed-Ištar,,,,
PN,a-pì-la,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-pì-lá,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bi₄-lá,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bi-la,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bi-lá,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-be-la,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-be-lá,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-pí-la,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-pì-lá-ma,Abela-ma,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bi-lá-ma,Abela-ma,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bi-la,Abila,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-pì-lá,Apila,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-be-i-lá,Apila,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bi-la-ma,Abela-ma,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bé-lá,Abela,Abela,https://www.ebl.lmu.de/dictionary?word=Abela,,,,
PN,a-bi-a-nu-um,Abī-Anum,Abī-Anu,https://www.ebl.lmu.de/dictionary?word=Abī-Anu,,,,
PN,a-bi-a-num,Abī-Anum,Abī-Anu,https://www.ebl.lmu.de/dictionary?word=Abī-Anu,,,,
PN,a-bi-a-nim,Abī-Anim,Abī-Anu,https://www.ebl.lmu.de/dictionary?word=Abī-Anu,,,,
PN,a-be-a-ni-im,Abī-Anim,Abī-Anu,https://www.ebl.lmu.de/dictionary?word=Abī-Anu,,,,
PN,a-bi₄-a-ni-im,Abī-Anim,Abī-Anu,https://www.ebl.lmu.de/dictionary?word=Abī-Anu,,,,
PN,a-bi-A-nim,Abī-Anim,Abī-Anu,https://www.ebl.lmu.de/dictionary?word=Abī-Anu,,,,
PN,a-bi₄-a-nim,Abī-Anim,Abī-Anu,https://www.ebl.lmu.de/dictionary?word=Abī-Anu,,,,
PN,a-bi₄-a-šùr,Abī-Aššur,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,a-bi₄-a-šur,Abī-Aššur,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,a-bi-a-šùr,Abī-Aššur,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,a-bi-a-šur,Abī-Aššur,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,a-bí-a-šùr,Abī-Aššur,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,(m)a-bi₄-a-šùr,Abī-Aššur,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,(m)a-bi₄-a-šur,Abī-Aššur,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,a-bi-a-šur-ma,Abī-Aššurma,Abī-Aššur,https://www.ebl.lmu.de/dictionary?word=Abī-Aššur,,,,
PN,a-bi₄-ba-áš-tí,Abī-baštī,Abī-baštī,https://www.ebl.lmu.de/dictionary?word=Abī-baštī,,,,
PN,a-bi-ba-áš-tí,Abī-baštī,Abī-baštī,https://www.ebl.lmu.de/dictionary?word=Abī-baštī,,,,
PN,a-bi₄-i-ba-áš-tí,Abī-baštī,Abī-baštī,https://www.ebl.lmu.de/dictionary?word=Abī-baštī,,,,
PN,a-bi-du-ri,Abī-dūrī,Abī-dūrī,https://www.ebl.lmu.de/dictionary?word=Abī-dūrī,,,,
PN,a-pì-tù-ri,Abī-dūrī,Abī-dūrī,https://www.ebl.lmu.de/dictionary?word=Abī-dūrī,,,,
PN,a-bi₄-du-ri,Abī-dūrī,Abī-dūrī,https://www.ebl.lmu.de/dictionary?word=Abī-dūrī,,,,
PN,a-bi₄-i-lá-am-dim,Abī-ilamdim,Abī-ilamdu,https://www.ebl.lmu.de/dictionary?word=Abī-ilamdu,,,,
PN,a-bi-la-am-dum,Abī-lamdum,Abī-ilamdu,https://www.ebl.lmu.de/dictionary?word=Abī-ilamdu,,,,
PN,a-bi₄-la-am-dum,Abī-lamdum,Abī-ilamdu,https://www.ebl.lmu.de/dictionary?word=Abī-ilamdu,,,,
PN,a-bi₄-ì-lí-šu,Abī-lišu,Abī-lišu,https://www.ebl.lmu.de/dictionary?word=Abī-lišu,,,,
PN,a-pil-ì-li-šu,Abī-lišu,Abī-lišu,https://www.ebl.lmu.de/dictionary?word=Abī-lišu,,,,
PN,a-pì-il-ì-lí-šu,Abī-lišu,Abī-lišu,https://www.ebl.lmu.de/dictionary?word=Abī-lišu,,,,
PN,a-bi-na-ṣir,Abī-nāṣir,Abī-nāṣir,https://www.ebl.lmu.de/dictionary?word=Abī-nāṣir,,,,
PN,a-bi₄-na-ṣí-ir,Abī-nāṣir,Abī-nāṣir,https://www.ebl.lmu.de/dictionary?word=Abī-nāṣir,,,,
PN,a-bi-na-ṣé-er,Abī-nāṣir,Abī-nāṣir,https://www.ebl.lmu.de/dictionary?word=Abī-nāṣir,,,,
PN,a-bi₄-ni-im-ri,Abī-nimrī,Abī-nimrī,https://www.ebl.lmu.de/dictionary?word=Abī-nimrī,,,,
PN,a-bi-ru-ša-kim,Abi-rušakim,Abī-rušaki,https://www.ebl.lmu.de/dictionary?word=Abī-rušaki,,,,
PN,a-bi-ru-ša-ki-im,Abi-rušakim,Abī-rušaki,https://www.ebl.lmu.de/dictionary?word=Abī-rušaki,,,,
PN,a-bi-ṣu-ra,Abī-ṣura,Abī-ṣura,https://www.ebl.lmu.de/dictionary?word=Abī-ṣura,,,,
PN,a-be-zu-ra,Abī-ṣura,Abī-ṣura,https://www.ebl.lmu.de/dictionary?word=Abī-ṣura,,,,
PN,a-pì-zu-ra,Abī-ṣura,Abī-ṣura,https://www.ebl.lmu.de/dictionary?word=Abī-ṣura,,,,
PN,a-bi₄-DUG,Abī-ṭāb,Abī-ṭāb,https://www.ebl.lmu.de/dictionary?word=Abī-ṭāb,,,,
PN,a-bi₄-DÙG,Abī-ṭāb,Abī-ṭāb,https://www.ebl.lmu.de/dictionary?word=Abī-ṭāb,,,,
PN,a-bi₄-DU₁₀,Abī-ṭāb,Abī-ṭāb,https://www.ebl.lmu.de/dictionary?word=Abī-ṭāb,,,,
PN,a-bi-DU₁₀,Abī-ṭāb,Abī-ṭāb,https://www.ebl.lmu.de/dictionary?word=Abī-ṭāb,,,,
PN,a-bi-DU₁₀-ma,Abī-ṭābma,Abī-ṭāb,https://www.ebl.lmu.de/dictionary?word=Abī-ṭāb,,,,
PN,a-bi-DUG,Abī-ṭāb,Abī-ṭāb,https://www.ebl.lmu.de/dictionary?word=Abī-ṭāb,,,,
PN,a-bi-tù-kúl-tí,Abī-tukultī,Abī-tukultī,https://www.ebl.lmu.de/dictionary?word=Abī-tukultī,,,,
PN,a-bí-we-dum,Abī-wēdum,Abī-wēdu,https://www.ebl.lmu.de/dictionary?word=Abī-wēdu,,,,
PN,a-bi-we-du,Abī-wēdum,Abī-wēdu,https://www.ebl.lmu.de/dictionary?word=Abī-wēdu,,,,
PN,a-bi-we-du-um,Abī-wēdum,Abī-wēdu,https://www.ebl.lmu.de/dictionary?word=Abī-wēdu,,,,
PN,a-bi₄-e-dim,Abi-wēdim,Abī-wēdu,https://www.ebl.lmu.de/dictionary?word=Abī-wēdu,,,,
PN,a-bi-a,Abiā,Abiā,https://www.ebl.lmu.de/dictionary?word=Abiā,,,,
PN,a-bi₄-a,Abiā,Abiā,https://www.ebl.lmu.de/dictionary?word=Abiā,,,,
